entry_id,matter_ref,entry_date,description,receipt_nzd,payment_nzd,balance_after_nzd,reconciled,reconciled_date,notes,reference
L001,M017,2024-12-15,Receipt - Estate funds deposited (Rowe estate),8500.00,0.00,8500.00,Y,2025-01-10,ERR-3: no further activity; funds not disbursed,
L002,M010,2026-02-01,Receipt - Estate funds received from Public Trust,340000.00,0.00,340000.00,Y,2026-03-05,,
L003,M003,2026-02-14,Receipt - Estate funds received - Williams estate,125000.00,0.00,125000.00,Y,2026-03-05,,
L004,M001,2026-03-01,Receipt - Purchase deposit (10%),80000.00,0.00,80000.00,Y,2026-03-05,,
L005,M002,2026-03-05,Receipt - Purchase deposit (10%),50000.00,0.00,50000.00,Y,2026-03-10,,
L006,M006,2026-03-10,Receipt - Sale proceeds received from purchaser's solicitors,490000.00,0.00,490000.00,Y,2026-03-15,,
L007,M016,2026-03-15,Receipt - Purchase deposit (10%),95000.00,0.00,95000.00,Y,2026-03-20,,
L008,M005,2026-03-20,Receipt - Commercial lease deposit received,200000.00,0.00,200000.00,Y,2026-03-25,,
L009,M008,2026-03-28,Receipt - Purchase deposit received,120000.00,0.00,120000.00,N,,ERR-1: unreconciled entry 89 days old as at 2026-06-25,
L010,M006,2026-04-01,Payment - Net sale proceeds to vendor (after retained costs),0.00,482500.00,7500.00,Y,2026-04-05,,
L011,M003,2026-04-05,Payment - Beneficiary payment J. Williams,0.00,40000.00,85000.00,Y,2026-04-10,,
L012,M004,2026-04-08,Receipt - Purchase deposit received,30000.00,0.00,30000.00,Y,2026-04-10,,
L013,M001,2026-04-12,Receipt - Settlement funds received from purchaser's mortgagee,645000.00,0.00,725000.00,Y,2026-04-15,,
L014,M001,2026-04-15,Payment - Settlement funds paid to vendor's solicitors,0.00,725000.00,0.00,Y,2026-04-15,,
L015,M007,2026-04-15,Receipt - Purchase deposit received,65000.00,0.00,65000.00,Y,2026-04-20,,
L016,M010,2026-04-18,Payment - Distribution to beneficiary P. Murphy,0.00,200000.00,140000.00,Y,2026-04-20,,
L017,M010,2026-04-20,Payment - Final distribution to beneficiary T. Murphy,0.00,140000.00,0.00,Y,2026-04-20,,
L018,M002,2026-04-21,Receipt - Settlement funds received,405000.00,0.00,455000.00,Y,2026-04-25,,
L019,M019,2026-04-25,Receipt - Sale proceeds received from purchaser's solicitors,285000.00,0.00,285000.00,Y,2026-04-30,,
L020,M002,2026-04-28,Payment - Settlement funds paid to vendor's solicitors,0.00,455000.00,0.00,Y,2026-04-28,,
L021,M016,2026-04-28,Payment - Settlement payment to vendor's solicitors,0.00,97500.00,-2500.00,Y,2026-04-30,"ERR-2: payment exceeds receipts; matter overdrawn by $2,500",
L022,M011,2026-05-01,Receipt - Commercial settlement funds received,450000.00,0.00,450000.00,Y,2026-05-05,,
L023,M005,2026-05-02,Payment - Lease deposit refunded to tenant (net of costs),0.00,195000.00,5000.00,Y,2026-05-05,,
L024,M009,2026-05-10,Receipt - Sale proceeds received from purchaser's solicitors,380000.00,0.00,380000.00,Y,2026-05-12,,
L025,M012,2026-05-10,Receipt - Purchase deposit received,55000.00,0.00,55000.00,Y,2026-05-12,,
L026,M009,2026-05-12,Payment - Net proceeds paid to vendor Singh,0.00,375000.00,5000.00,Y,2026-05-15,,
L027,M011,2026-05-14,Payment - Settlement payment to vendor,0.00,448000.00,2000.00,Y,2026-05-15,,
L028,M013,2026-05-15,Receipt - Purchase deposit received,110000.00,0.00,110000.00,Y,2026-05-20,,
L029,M015,2026-05-20,Receipt - Purchase deposit received,25000.00,0.00,25000.00,Y,2026-05-22,,
L030,M018,2026-05-28,Receipt - Purchase deposit received,40000.00,0.00,40000.00,Y,2026-05-30,,
L031,M020,2026-06-01,Receipt - Purchase deposit received,70000.00,0.00,70000.00,Y,2026-06-05,,
L032,M014,2026-06-02,Receipt - Sale proceeds received from purchaser's solicitors,620000.00,0.00,620000.00,Y,2026-06-05,,
L033,M019,2026-06-02,Payment - Net proceeds paid to vendor Nkosi,0.00,280000.00,5000.00,Y,2026-06-05,,
L034,M014,2026-06-05,Payment - Settlement payment to vendor Robertson,0.00,615000.00,5000.00,Y,2026-06-05,,
L035,M019,2026-06-10,Payment - Final retained costs payment to vendor,0.00,5000.00,0.00,Y,2026-06-10,,
L036,M021,2026-06-01,FIT credit - Interest on pooled trust funds (May 2026),125.00,0.00,125.00,Y,2026-06-02,ERR-6: FIT balance not transferred within 14 days,
L037,M012,2026-05-28,Disbursement - LINZ title search fee,0.00,200.00,54800.00,Y,2026-05-29,ERR-7: no INV-XXXXX reference for fee entry,
L038,M013,2026-05-28,Fee - professional conveyancing services,0.00,500.00,109500.00,Y,2026-05-29,,INV-00234
